ISO3,Date,Cumulative_cases,Cumulative_deaths
ABW,2020-01,0,0
ABW,2020-02,0,0
ABW,2020-03,46,0
ABW,2020-04,100,2
ABW,2020-05,101,3
ABW,2020-06,101,3
ABW,2020-07,117,3
ABW,2020-08,1848,8
ABW,2020-09,3756,25
ABW,2020-10,4389,36
ABW,2020-11,4791,45
ABW,2020-12,5228,47
ABW,2021-01,6858,58
ABW,2021-02,7804,71
ABW,2021-03,9073,82
ABW,2021-04,10469,95
ABW,2021-05,10957,107
ABW,2021-06,11125,107
ABW,2021-07,11292,109
ABW,2021-08,14318,133
ABW,2021-09,15351,160
ABW,2021-10,15882,171
ABW,2021-11,16263,174
ABW,2021-12,17165,181
ABW,2022-01,32718,193
ABW,2022-02,33655,211
ABW,2022-03,33843,212
ABW,2022-04,34446,212
ABW,2022-05,36564,213
ABW,2022-06,40179,221
ABW,2022-07,42080,224
ABW,2022-08,42750,227
ABW,2022-09,42970,228
ABW,2022-10,43334,232
ABW,2022-11,43568,236
ABW,2022-12,43752,280
ABW,2023-01,43993,281
ABW,2023-02,44044,282
ABW,2023-03,44099,287
ABW,2023-04,44114,287
ABW,2023-05,44180,288
ABW,2023-06,44200,290
ABW,2023-07,44224,292
ABW,2023-08,44224,292
ABW,2023-09,44224,292
ABW,2023-10,44224,292
ABW,2023-11,44224,292
ABW,2023-12,44224,292
ABW,2024-01,44224,292
ABW,2024-02,44224,292
ABW,2024-03,44224,292
ABW,2024-04,44224,292
ABW,2024-05,44224,292
ABW,2024-06,44224,292
AFG,2020-01,0,0
AFG,2020-02,0,0
AFG,2020-03,91,2
AFG,2020-04,1330,43
AFG,2020-05,14443,248
AFG,2020-06,30616,703
AFG,2020-07,36036,1246
AFG,2020-08,38143,1402
AFG,2020-09,39192,1453
AFG,2020-10,40768,1511
AFG,2020-11,45966,1752
AFG,2020-12,51848,2158
AFG,2021-01,55023,2400
AFG,2021-02,55714,2443
AFG,2021-03,56294,2470
AFG,2021-04,58843,2582
AFG,2021-05,70761,2919
AFG,2021-06,114220,4650
AFG,2021-07,143871,6425
AFG,2021-08,153033,7109
AFG,2021-09,154899,7199
AFG,2021-10,156088,7272
AFG,2021-11,157190,7308
AFG,2021-12,157902,7352
AFG,2022-01,161666,7407
AFG,2022-02,173180,7588
AFG,2022-03,177474,7660
AFG,2022-04,178648,7681
AFG,2022-05,180123,7701
AFG,2022-06,182072,7717
AFG,2022-07,185580,7747
AFG,2022-08,192208,7774
AFG,2022-09,198283,7796
AFG,2022-10,202834,7821
AFG,2022-11,205596,7833
AFG,2022-12,207322,7845
AFG,2023-01,208420,7866
AFG,2023-02,209251,7878
AFG,2023-03,210080,7882
AFG,2023-04,214880,7892
AFG,2023-05,221217,7915
AFG,2023-06,223156,7928
AFG,2023-07,224224,7935
AFG,2023-08,225099,7942
AFG,2023-09,225999,7947
AFG,2023-10,227539,7953
AFG,2023-11,228975,7963
AFG,2023-12,230375,7973
AFG,2024-01,231310,7981
AFG,2024-02,232221,7983
AFG,2024-03,233340,7996
AFG,2024-04,234576,7997
AFG,2024-05,235214,7998
AFG,2024-06,235214,7998
AGO,2020-01,0,0
AGO,2020-02,0,0
AGO,2020-03,0,0
AGO,2020-04,25,0
AGO,2020-05,84,4
AGO,2020-06,259,10
AGO,2020-07,916,39
AGO,2020-08,2551,107
AGO,2020-09,4672,169
AGO,2020-10,9026,270
AGO,2020-11,15087,345
AGO,2020-12,17149,400
AGO,2021-01,19782,464
AGO,2021-02,20782,506
AGO,2021-03,22031,533
AGO,2021-04,25492,577
AGO,2021-05,34180,757
AGO,2021-06,38528,887
AGO,2021-07,41736,982
AGO,2021-08,47079,1192
AGO,2021-09,54795,1487
AGO,2021-10,64374,1708
AGO,2021-11,65139,1733
AGO,2021-12,71142,1746
AGO,2022-01,98057,1894
AGO,2022-02,98701,1899
AGO,2022-03,99106,1900
AGO,2022-04,99318,1900
AGO,2022-05,99761,1900
AGO,2022-06,101257,1900
AGO,2022-07,102475,1916
AGO,2022-08,103022,1917
AGO,2022-09,103131,1917
AGO,2022-10,103598,1917
AGO,2022-11,104659,1924
AGO,2022-12,105070,1929
AGO,2023-01,105184,1931
AGO,2023-02,105255,1933
AGO,2023-03,105316,1933
AGO,2023-04,105384,1934
AGO,2023-05,105819,1936
AGO,2023-06,105904,1936
AGO,2023-07,105931,1936
AGO,2023-08,105937,1936
AGO,2023-09,105962,1936
AGO,2023-10,105976,1936
AGO,2023-11,106124,1936
AGO,2023-12,106928,1937
AGO,2024-01,107292,1937
AGO,2024-02,107326,1937
AGO,2024-03,107357,1937
AGO,2024-04,107394,1937
AGO,2024-05,107454,1937
AGO,2024-06,107468,1937
AIA,2020-01,0,0
AIA,2020-02,0,0
AIA,2020-03,2,0
AIA,2020-04,3,0
AIA,2020-05,3,0
AIA,2020-06,3,0
AIA,2020-07,3,0
AIA,2020-08,3,0
AIA,2020-09,3,0
AIA,2020-10,3,0
AIA,2020-11,4,0
AIA,2020-12,12,0
AIA,2021-01,17,0
AIA,2021-02,18,0
AIA,2021-03,23,0
AIA,2021-04,58,0
AIA,2021-05,109,0
AIA,2021-06,109,0
AIA,2021-07,113,0
AIA,2021-08,194,0
AIA,2021-09,364,1
AIA,2021-10,892,1
AIA,2021-11,1334,3
AIA,2021-12,1646,5
AIA,2022-01,2324,8
AIA,2022-02,2528,9
AIA,2022-03,2633,9
AIA,2022-04,2731,9
AIA,2022-05,3203,9
AIA,2022-06,3411,9
AIA,2022-07,3580,10
AIA,2022-08,3805,10
AIA,2022-09,3858,12
AIA,2022-10,3866,12
AIA,2022-11,3866,12
AIA,2022-12,3904,12
AIA,2023-01,3904,12
AIA,2023-02,3904,12
AIA,2023-03,3904,12
AIA,2023-04,3904,12
AIA,2023-05,3904,12
AIA,2023-06,3904,12
AIA,2023-07,3904,12
AIA,2023-08,3904,12
AIA,2023-09,3904,12
AIA,2023-10,3904,12
AIA,2023-11,3904,12
AIA,2023-12,3904,12
AIA,2024-01,3904,12
AIA,2024-02,3904,12
AIA,2024-03,3904,12
AIA,2024-04,3904,12
AIA,2024-05,3904,12
AIA,2024-06,3904,12
ALB,2020-01,0,0
ALB,2020-02,0,0
ALB,2020-03,186,8
ALB,2020-04,678,27
ALB,2020-05,1099,33
ALB,2020-06,2269,51
ALB,2020-07,4570,128
ALB,2020-08,9195,271
ALB,2020-09,13045,373
ALB,2020-10,18556,469
ALB,2020-11,36245,771
ALB,2020-12,55380,1134
ALB,2021-01,76350,1358
ALB,2021-02,105229,1756
ALB,2021-03,123216,2192
ALB,2021-04,130270,2367
ALB,2021-05,132285,2448
ALB,2021-06,132506,2455
ALB,2021-07,132828,2456
ALB,2021-08,143174,2487
ALB,2021-09,166690,2619
ALB,2021-10,184340,2909
ALB,2021-11,198732,3077
ALB,2021-12,207221,3187
ALB,2022-01,255741,3334
ALB,2022-02,271314,3460
ALB,2022-03,273318,3490
ALB,2022-04,274685,3496
ALB,2022-05,276012,3497
ALB,2022-06,278211,3497
ALB,2022-07,309278,3538
ALB,2022-08,326815,3580
ALB,2022-09,330762,3589
ALB,2022-10,331745,3593
ALB,2022-11,332202,3594
ALB,2022-12,332670,3596
ALB,2023-01,333219,3596
ALB,2023-02,333483,3598
ALB,2023-03,333799,3601
ALB,2023-04,334090,3604
ALB,2023-05,334090,3604
ALB,2023-06,334090,3604
ALB,2023-07,334090,3604
ALB,2023-08,334090,3604
ALB,2023-09,334090,3604
ALB,2023-10,334090,3604
ALB,2023-11,334408,3604
ALB,2023-12,334596,3604
ALB,2024-01,334863,3605
ALB,2024-02,334959,3605
ALB,2024-03,335028,3605
ALB,2024-04,335043,3605
ALB,2024-05,335047,3605
ALB,2024-06,335047,3605
AND,2020-01,0,0
AND,2020-02,0,0
AND,2020-03,341,6
AND,2020-04,738,40
AND,2020-05,764,51
AND,2020-06,855,52
AND,2020-07,897,52
AND,2020-08,1124,53
AND,2020-09,1836,53
AND,2020-10,4038,69
AND,2020-11,6610,76
AND,2020-12,7806,83
AND,2021-01,9885,101
AND,2021-02,10849,110
AND,2021-03,11809,115
AND,2021-04,13024,124
AND,2021-05,13693,127
AND,2021-06,13882,127
AND,2021-07,14498,127
AND,2021-08,15025,130
AND,2021-09,15167,130
AND,2021-10,15516,130
AND,2021-11,16712,131
AND,2021-12,21730,139
AND,2022-01,35556,145
AND,2022-02,37999,151
AND,2022-03,39713,153
AND,2022-04,41013,153
AND,2022-05,42894,153
AND,2022-06,43774,153
AND,2022-07,45508,153
AND,2022-08,46027,154
AND,2022-09,46147,155
AND,2022-10,46535,155
AND,2022-11,46824,156
AND,2022-12,47686,158
AND,2023-01,47839,159
AND,2023-02,47875,159
AND,2023-03,47917,159
AND,2023-04,47974,159
AND,2023-05,48015,159
AND,2023-06,48015,159
AND,2023-07,48015,159
AND,2023-08,48015,159
AND,2023-09,48015,159
AND,2023-10,48015,159
AND,2023-11,48015,159
AND,2023-12,48015,159
AND,2024-01,48015,159
AND,2024-02,48015,159
AND,2024-03,48015,159
AND,2024-04,48015,159
AND,2024-05,48015,159
AND,2024-06,48015,159
ARE,2020-01,0,0
ARE,2020-02,13,0
ARE,2020-03,468,2
ARE,2020-04,9813,71
ARE,2020-05,33896,262
ARE,2020-06,47360,311
ARE,2020-07,58562,343
ARE,2020-08,69328,379
ARE,2020-09,90618,411
ARE,2020-10,123764,475
ARE,2020-11,166502,569
ARE,2020-12,200892,655
ARE,2021-01,300661,838
ARE,2021-02,388594,1213
ARE,2021-03,453069,1477
ARE,2021-04,508925,1569
ARE,2021-05,567263,1673
ARE,2021-06,624814,1792
ARE,2021-07,670108,1916
ARE,2021-08,715394,2036
ARE,2021-09,734596,2089
ARE,2021-10,739824,2136
ARE,2021-11,741858,2145
ARE,2021-12,749530,2156
ARE,2022-01,840739,2239
ARE,2022-02,878746,2301
ARE,2022-03,889797,2302
ARE,2022-04,896892,2302
ARE,2022-05,907069,2302
ARE,2022-06,937037,2311
ARE,2022-07,990400,2334
ARE,2022-08,1013331,2341
ARE,2022-09,1025213,2343
ARE,2022-10,1037023,2348
ARE,2022-11,1043798,2348
ARE,2022-12,1046549,2348
ARE,2023-01,1049209,2348
ARE,2023-02,1051732,2349
ARE,2023-03,1056485,2349
ARE,2023-04,1062800,2349
ARE,2023-05,1067030,2349
ARE,2023-06,1067030,2349
ARE,2023-07,1067030,2349
ARE,2023-08,1067030,2349
ARE,2023-09,1067030,2349
ARE,2023-10,1067030,2349
ARE,2023-11,1067030,2349
ARE,2023-12,1067030,2349
ARE,2024-01,1067030,2349
ARE,2024-02,1067030,2349
ARE,2024-03,1067030,2349
ARE,2024-04,1067030,2349
ARE,2024-05,1067030,2349
ARE,2024-06,1067030,2349
ARG,2020-01,0,0
ARG,2020-02,0,0
ARG,2020-03,1282,70
ARG,2020-04,5464,411
ARG,2020-05,22406,1306
ARG,2020-06,73445,3500
ARG,2020-07,189430,8474
ARG,2020-08,451875,17491
ARG,2020-09,759395,27057
ARG,2020-10,1136236,36979
ARG,2020-11,1461515,44081
ARG,2020-12,1629908,47507
ARG,2021-01,1993552,53716
ARG,2021-02,2182953,57227
ARG,2021-03,2400067,61341
ARG,2021-04,2977690,72377
ARG,2021-05,3872872,91177
ARG,2021-06,4501629,103698
ARG,2021-07,4929412,110905
ARG,2021-08,5244899,115381
ARG,2021-09,5318508,116434
ARG,2021-10,5359226,116823
ARG,2021-11,5399385,117182
ARG,2021-12,5559916,117830
ARG,2022-01,8400422,125514
ARG,2022-02,8899363,128031
ARG,2022-03,9017872,128299
ARG,2022-04,9072230,128542
