ISO3,Country,Year,Population
ABW,Aruba,2020,106585.0
AFE,Africa Eastern and Southern,2020,685112979.0
AFG,Afghanistan,2020,38972230.0
AFW,Africa Western and Central,2020,466189102.0
AGO,Angola,2020,33428486.0
ALB,Albania,2020,2837849.0
AND,Andorra,2020,77700.0
ARB,Arab World,2020,449228296.0
ARE,United Arab Emirates,2020,9287289.0
ARG,Argentina,2020,45376763.0
ARM,Armenia,2020,2805608.0
ASM,American Samoa,2020,46189.0
ATG,Antigua and Barbuda,2020,92664.0
AUS,Australia,2020,25649248.0
AUT,Austria,2020,8916864.0
AZE,Azerbaijan,2020,10093121.0
BDI,Burundi,2020,12220227.0
BEL,Belgium,2020,11538604.0
BEN,Benin,2020,12643123.0
BFA,Burkina Faso,2020,21522626.0
BGD,Bangladesh,2020,167420951.0
BGR,Bulgaria,2020,6934015.0
BHR,Bahrain,2020,1477469.0
BHS,"Bahamas, The",2020,406471.0
BIH,Bosnia and Herzegovina,2020,3318407.0
BLR,Belarus,2020,9379952.0
BLZ,Belize,2020,394921.0
BMU,Bermuda,2020,63893.0
BOL,Bolivia,2020,11936162.0
BRA,Brazil,2020,213196304.0
BRB,Barbados,2020,280693.0
BRN,Brunei Darussalam,2020,441725.0
BTN,Bhutan,2020,772506.0
BWA,Botswana,2020,2546402.0
CAF,Central African Republic,2020,5343020.0
CAN,Canada,2020,38028638.0
CEB,Central Europe and the Baltics,2020,102180124.0
CHE,Switzerland,2020,8638167.0
CHI,Channel Islands,2020,171113.0
CHL,Chile,2020,19300315.0
CHN,China,2020,1411100000.0
CIV,Cote d'Ivoire,2020,26811790.0
CMR,Cameroon,2020,26491087.0
COD,"Congo, Dem. Rep.",2020,92853164.0
COG,"Congo, Rep.",2020,5702174.0
COL,Colombia,2020,50930662.0
COM,Comoros,2020,806166.0
CPV,Cabo Verde,2020,582640.0
CRI,Costa Rica,2020,5123105.0
CSS,Caribbean small states,2020,3106185.0
CUB,Cuba,2020,11300698.0
CUW,Curacao,2020,154947.0
CYM,Cayman Islands,2020,67311.0
CYP,Cyprus,2020,1237537.0
CZE,Czechia,2020,10697858.0
DEU,Germany,2020,83160871.0
DJI,Djibouti,2020,1090156.0
DMA,Dominica,2020,71995.0
DNK,Denmark,2020,5831404.0
DOM,Dominican Republic,2020,10999664.0
DZA,Algeria,2020,43451666.0
EAP,East Asia & Pacific (excluding high income),2020,2116360715.0
EAR,Early-demographic dividend,2020,3374383528.0
EAS,East Asia & Pacific,2020,2363934334.0
ECA,Europe & Central Asia (excluding high income),2020,248913167.0
ECS,Europe & Central Asia,2020,923384672.0
ECU,Ecuador,2020,17588595.0
EGY,"Egypt, Arab Rep.",2020,107465134.0
EMU,Euro area,2020,346961127.0
ERI,Eritrea,2020,3555868.0
ESP,Spain,2020,47365655.0
EST,Estonia,2020,1329522.0
ETH,Ethiopia,2020,117190911.0
EUU,European Union,2020,447692315.0
FCS,Fragile and conflict affected situations,2020,979839336.0
FIN,Finland,2020,5529543.0
FJI,Fiji,2020,920422.0
FRA,France,2020,67571107.0
FRO,Faroe Islands,2020,52415.0
FSM,"Micronesia, Fed. Sts.",2020,112106.0
GAB,Gabon,2020,2292573.0
GBR,United Kingdom,2020,67081234.0
GEO,Georgia,2020,3722716.0
GHA,Ghana,2020,32180401.0
GIB,Gibraltar,2020,32709.0
GIN,Guinea,2020,13205153.0
GMB,"Gambia, The",2020,2573995.0
GNB,Guinea-Bissau,2020,2015828.0
GNQ,Equatorial Guinea,2020,1596049.0
GRC,Greece,2020,10698599.0
GRD,Grenada,2020,123663.0
GRL,Greenland,2020,56367.0
GTM,Guatemala,2020,16858333.0
GUM,Guam,2020,169231.0
GUY,Guyana,2020,797202.0
HIC,High income,2020,1393950970.0
HKG,"Hong Kong SAR, China",2020,7481000.0
HND,Honduras,2020,10121763.0
HPC,Heavily indebted poor countries (HIPC),2020,838066650.0
HRV,Croatia,2020,4047680.0
HTI,Haiti,2020,11306801.0
HUN,Hungary,2020,9750149.0
IBD,IBRD only,2020,4866828116.0
IBT,IDA & IBRD total,2020,6628629499.0
IDA,IDA total,2020,1761801383.0
IDB,IDA blend,2020,584212703.0
IDN,Indonesia,2020,271857970.0
IDX,IDA only,2020,1177588680.0
IMN,Isle of Man,2020,84046.0
IND,India,2020,1396387127.0
INX,Not classified,2020,
IRL,Ireland,2020,4985382.0
IRN,"Iran, Islamic Rep.",2020,87290193.0
IRQ,Iraq,2020,42556984.0
ISL,Iceland,2020,366463.0
ISR,Israel,2020,9215100.0
ITA,Italy,2020,59438851.0
JAM,Jamaica,2020,2820436.0
JOR,Jordan,2020,10928721.0
JPN,Japan,2020,126261000.0
KAZ,Kazakhstan,2020,18755666.0
KEN,Kenya,2020,51985780.0
KGZ,Kyrgyz Republic,2020,6579900.0
KHM,Cambodia,2020,16396860.0
KIR,Kiribati,2020,126463.0
KNA,St. Kitts and Nevis,2020,47642.0
KOR,"Korea, Rep.",2020,51836239.0
KWT,Kuwait,2020,4360444.0
LAC,Latin America & Caribbean (excluding high income),2020,588011178.0
LAO,Lao PDR,2020,7319399.0
LBN,Lebanon,2020,5662923.0
LBR,Liberia,2020,5087584.0
LBY,Libya,2020,6653942.0
LCA,St. Lucia,2020,179237.0
LCN,Latin America & Caribbean,2020,650533026.0
LDC,Least developed countries: UN classification,2020,1072970944.0
LIC,Low income,2020,667053670.0
LIE,Liechtenstein,2020,38756.0
LKA,Sri Lanka,2020,21919000.0
LMC,Lower middle income,2020,2943860780.0
LMY,Low & middle income,2020,6398830423.0
LSO,Lesotho,2020,2254100.0
LTE,Late-demographic dividend,2020,2318233156.0
LTU,Lithuania,2020,2794885.0
LUX,Luxembourg,2020,630419.0
LVA,Latvia,2020,1900449.0
MAC,"Macao SAR, China",2020,676283.0
MAF,St. Martin (French part),2020,32553.0
MAR,Morocco,2020,36688772.0
MCO,Monaco,2020,36922.0
MDA,Moldova,2020,2635130.0
MDG,Madagascar,2020,28225177.0
MDV,Maldives,2020,514438.0
MEA,Middle East & North Africa,2020,479966649.0
MEX,Mexico,2020,125998302.0
MHL,Marshall Islands,2020,43413.0
